Abies balsamea,Pinaceae
Daucus carota,Apiaceae
Decodon verticillatus,Lythraceae
Dennstaedtia punctilobula,Dennstaedtiaceae
Deparia acrostichoides,Athyriaceae
Desmodium glutinosum,Fabaceae
Desmodium nudiflorum,Fabaceae
Dianthus armeria,Caryophyllaceae
Dianthus barbatus,Caryophyllaceae
Dianthus deltoides,Caryophyllaceae
Dicentra eximia,Papaveraceae
Dichanthelium acuminatum subsp. columbianum,Poaceae
Dichanthelium acuminatum subsp. fasciculatum,Poaceae
Dichanthelium acuminatum subsp. implicatum,Poaceae
Dichanthelium acuminatum subsp. spretum,Poaceae
Dichanthelium boreale,Poaceae
Dichanthelium clandestinum,Poaceae
Dichanthelium dichotomum,Poaceae
Dichanthelium latifolium,Poaceae
Dichanthelium linearifolium,Poaceae
Dichanthelium xanthophysum,Poaceae
Diervilla lonicera,Caprifoliaceae
Digitalis sp.,Plantaginaceae
Digitaria ischaemum,Poaceae
Digitaria sanguinalis,Poaceae
Diphasiastrum digitatum,Lycopodiaceae
Diphasiastrum tristachyum,Lycopodiaceae
Dirca palustris,Thymelaeaceae
Drosera intermedia,Droseraceae
Drosera rotundifolia,Droseraceae
Dryopteris carthusiana,Dryopteridaceae
Dryopteris cristata,Dryopteridaceae
Dryopteris intermedia,Dryopteridaceae
Dryopteris marginalis,Dryopteridaceae
Dryopteris uliginosa,Dryopteridaceae
Dryopteris x boottii,Dryopteridaceae
Dryopteris x triploidea,Dryopteridaceae
Dulichium arundinaceum,Cyperaceae
Echinochloa crusgalli,Poaceae
Echinochloa muricata,Poaceae
Elaeagnus umbellata,Elaeagnaceae
Eleocharis acicularis,Cyperaceae
Eleocharis flavescens var. olivacea,Cyperaceae
Eleocharis obtusa,Cyperaceae
Eleocharis palustris,Cyperaceae
Eleocharis tenuis,Cyperaceae
Elymus hystrix,Poaceae
Elytrigia repens,Poaceae
Epifagus virginiana,Orobanchaceae
Epigaea repens,Ericaceae
Epilobium sp.,Onagraceae
Epilobium angustifolium,Onagraceae
Epilobium ciliatum,Onagraceae
Epilobium coloratum,Onagraceae
Epilobium leptophyllum,Onagraceae
Epilobium palustre,Onagraceae
Epipactis helleborine,Orchidaceae
Equisetum arvense,Equisetaceae
Equisetum sylvaticum,Equisetaceae
Eragrostis pectinacea,Poaceae
Eragrostis pilosa,Poaceae
Erechtites hieraciifolia,Asteraceae
Erigeron annuus,Asteraceae
Erigeron pulchellus,Asteraceae
Erigeron strigosus,Asteraceae
Eriophorum virginicum,Cyperaceae
Erysimum cheiranthoides,Brassicaceae
Erythronium americanum,Liliaceae
Euonymus alatus,Celastraceae
Euonymus fortunei,Celastraceae
Eupatorium maculatum,Asteraceae
Eupatorium perfoliatum,Asteraceae
Eupatorium purpureum,Asteraceae
Eupatorium rugosum,Asteraceae
Euphorbia cyparissias,Euphorbiaceae
Euthamia graminifolia,Asteraceae
Fagopyrum esculentum,Polygonaceae
Fagus grandifolia,Fagaceae
Fagus sylvatica,Fagaceae
Fallopia cilinodis,Polygonaceae
Fallopia convolvulus,Polygonaceae
Fallopia japonica,Polygonaceae
Fallopia scandens,Polygonaceae
Festuca sp.,Poaceae
Festuca arundinacea,Poaceae
Festuca filiformis,Poaceae
Festuca ovina,Poaceae
Festuca pratensis,Poaceae
Festuca rubra,Poaceae
Festuca trachyphylla,Poaceae
Fragaria virginiana,Rosaceae
Fraxinus americana,Oleaceae
Fraxinus nigra,Oleaceae
Galeopsis tetrahit,Lamiaceae
Galinsoga quadriradiata,Asteraceae
Galium asprellum,Rubiaceae
Galium circaezans,Rubiaceae
Galium lanceolatum,Rubiaceae
Galium mollugo,Rubiaceae
Galium palustre,Rubiaceae
Galium tinctorium,Rubiaceae
Galium trifidum,Rubiaceae
Galium triflorum,Rubiaceae
Gaultheria hispidula,Ericaceae
Gaultheria procumbens,Ericaceae
Gaylussacia baccata,Ericaceae
Gaylussacia frondosa,Ericaceae
Gentiana clausa,Gentianaceae
Gentiana linearis,Gentianaceae
Gentianopsis crinita,Gentianaceae
Geranium maculatum,Geraniaceae
Geranium robertianum,Geraniaceae
Geum aleppicum,Rosaceae
Geum canadense,Rosaceae
Geum laciniatum,Rosaceae
Geum rivale,Rosaceae
Glechoma hederacea,Lamiaceae
Glyceria borealis,Poaceae
Glyceria canadensis,Poaceae
Glyceria melicaria,Poaceae
Glyceria obtusa,Poaceae
Glyceria striata,Poaceae
Gnaphalium obtusifolium,Asteraceae
Gnaphalium uliginosum,Asteraceae
Goodyera pubescens,Orchidaceae
Goodyera tesselata,Orchidaceae
Gratiola aurea,Plantaginaceae
Gymnocarpium dryopteris,Cystopteridaceae
Hamamelis virginiana,Hamamelidaceae
Helianthemum bicknellii,Cistaceae
Helianthemum canadense,Cistaceae
Helianthus tuberosus,Asteraceae
Hemerocallis fulva,Xanthorrhoeaceae
Heracleum maximum,Apiaceae
Hesperis matronalis,Brassicaceae
Heteranthera dubia,Pontederiaceae
Hieracium sp.,Asteraceae
Hieracium aurantiacum,Asteraceae
Hieracium caespitosum,Asteraceae
Hieracium paniculatum,Asteraceae
Hieracium piloselloides,Asteraceae
Hieracium scabrum,Asteraceae
Hieracium umbellatum,Asteraceae
Hieracium venosum,Asteraceae
Holcus lanatus,Poaceae
Houstonia caerulea,Rubiaceae
Humulus lupulus,Cannabaceae
Huperzia lucidula,Lycopodiaceae
Hydrangea arborescens,Hydrangeaceae
Hydrocotyle americana,Araliaceae
Hypericum boreale,Hypericaceae
Hypericum canadense,Hypericaceae
Hypericum ellipticum,Hypericaceae
Hypericum gentianoides,Hypericaceae
Hypericum mutilum,Hypericaceae
Hypericum perforatum,Hypericaceae
Hypericum punctatum,Hypericaceae
Hypochaeris radicata,Asteraceae
Ilex laevigata,Aquifoliaceae
Ilex verticillata,Aquifoliaceae
Impatiens capensis,Balsaminaceae
Iris sp.,Iridaceae
Iris pseudacorus,Iridaceae
Iris versicolor,Iridaceae
Juglans cinerea,Juglandaceae
Juglans nigra,Juglandaceae
Juncus acuminatus,Juncaceae
Juncus articulatus,Juncaceae
Juncus brevicaudatus,Juncaceae
Juncus bufonius,Juncaceae
Juncus canadensis,Juncaceae
Juncus effusus,Juncaceae
Juncus greenei,Juncaceae
Juncus marginatus,Juncaceae
Juncus pelocarpus,Juncaceae
Juncus tenuis,Juncaceae
Juniperus communis,Cupressaceae
Juniperus virginiana,Cupressaceae
Kalmia angustifolia,Ericaceae
Kalmia latifolia,Ericaceae
Kalmia polifolia,Ericaceae
Lactuca sp.,Asteraceae
Lactuca biennis,Asteraceae
Lactuca canadensis,Asteraceae
Lactuca hirsuta,Asteraceae
Laportea canadensis,Urticaceae
Larix sp.,Pinaceae
Larix laricina,Pinaceae
Lechea intermedia,Cistaceae
Lechea mucronata,Cistaceae
Ledum groenlandicum,Ericaceae
Leersia oryzoides,Poaceae
Leontodon autumnalis,Asteraceae
Leonurus cardiaca,Lamiaceae
Lepidium densiflorum,Brassicaceae
Lepidium virginicum,Brassicaceae
Lespedeza capitata,Fabaceae
Ligustrum vulgare,Oleaceae
Lilium canadense,Liliaceae
Lilium philadelphicum,Liliaceae
Linaria vulgaris,Plantaginaceae
Lindera benzoin,Lauraceae
Lindernia dubia,Linderniaceae
Linnaea borealis,Caprifoliaceae
Liriodendron tulipifera,Magnoliaceae
Lobelia cardinalis,Campanulaceae
Lobelia inflata,Campanulaceae
Lobelia spicata,Campanulaceae
Lolium perenne,Poaceae
Lonicera canadensis,Caprifoliaceae
Lonicera dioica,Caprifoliaceae
Lonicera morrowii,Caprifoliaceae
Lonicera villosa,Caprifoliaceae
Ludwigia palustris,Onagraceae
Lupinus sp.,Fabaceae
Luzula multiflora,Juncaceae
Lychnis flos-cuculi,Caryophyllaceae
Lycopodiella inundata,Lycopodiaceae
Lycopodium annotinum,Lycopodiaceae
Lycopodium clavatum,Lycopodiaceae
Lycopodium lagopus,Lycopodiaceae
Lycopodium obscurum,Lycopodiaceae
Lycopus americanus,Lamiaceae
Lycopus uniflorus,Lamiaceae
Lycopus virginicus,Lamiaceae
Lyonia ligustrina,Ericaceae
Lysimachia ciliata,Primulaceae
Lysimachia nummularia,Primulaceae
Lysimachia quadrifolia,Primulaceae
Lysimachia terrestris,Primulaceae
Lysimachia vulgaris,Primulaceae
Lythrum salicaria,Lythraceae
Maianthemum canadense,Asparagaceae
Maianthemum racemosum,Asparagaceae
Maianthemum trifolium,Asparagaceae
Malaxis unifolia,Orchidaceae
Malus pumila,Rosaceae
Malus sieboldii,Rosaceae
Malva moschata,Malvaceae
Malva neglecta,Malvaceae
Matricaria matricarioides,Asteraceae
Matteuccia struthiopteris,Onocleaceae
Medeola virginiana,Liliaceae
Medicago lupulina,Fabaceae
Medicago sativa,Fabaceae
Melampyrum lineare,Orobanchaceae
Melilotus alba,Fabaceae
Melilotus officinalis,Fabaceae
Mentha arvensis,Lamiaceae
Mentha spicata,Lamiaceae
Menyanthes trifoliata,Menyanthaceae
Mimulus ringens,Phrymaceae
Mitchella repens,Rubiaceae
Mollugo verticillata,Molluginaceae
Moneses uniflora,Ericaceae
Monotropa hypopithys,Ericaceae
Monotropa uniflora,Ericaceae
Muhlenbergia frondosa,Poaceae
Muhlenbergia tenuiflora,Poaceae
Muhlenbergia uniflora,Poaceae
Myosotis scorpioides,Boraginaceae
Myrica gale,Myricaceae
Myriophyllum humile,Haloragaceae
Najas flexilis,Hydrocharitaceae
Nemopanthus mucronatus,Aquifoliaceae
Nuphar variegata,Nymphaeaceae
Nuttallanthus canadensis,Plantaginaceae
Nymphaea odorata,Nymphaeaceae
Nyssa sylvatica,Cornaceae
Oenothera biennis,Onagraceae
Oenothera parviflora,Onagraceae
Oenothera perennis,Onagraceae
Onoclea sensibilis,Onocleaceae
Orobanche uniflora,Orobanchaceae
Orthilia secunda,Ericaceae
Oryzopsis asperifolia,Poaceae
Oryzopsis racemosa,Poaceae
Osmunda cinnamomea,Osmundaceae
Osmunda claytoniana,Osmundaceae
Osmunda regalis,Osmundaceae
Ostrya virginiana,Betulaceae
Oxalis dillenii,Oxalidaceae
Oxalis montana,Oxalidaceae
Oxalis stricta,Oxalidaceae
Pachysandra sp.,Buxaceae
Panax quinquefolius,Araliaceae
Panax trifolius,Araliaceae
Panicum capillare,Poaceae
Panicum dichotomiflorum,Poaceae
Panicum rigidulum,Poaceae
Parthenocissus quinquefolia,Vitaceae
Pedicularis canadensis,Orobanchaceae
Peltandra virginica,Araceae
Persicaria arifolia,Polygonaceae
Persicaria careyi,Polygonaceae
Persicaria hydropiper,Polygonaceae
Persicaria hydropiperoides,Polygonaceae
Persicaria lapathifolia,Polygonaceae
Persicaria longiseta,Polygonaceae
Persicaria maculosa,Polygonaceae
Persicaria pensylvanica,Polygonaceae
Persicaria punctata,Polygonaceae
Persicaria sagittata,Polygonaceae
Phalaris arundinacea,Poaceae
Phegopteris connectilis,Thelypteridaceae
Phellodendron sp.,Rutaceae
Philadelphus coronarius,Hydrangeaceae
Phleum pratense,Poaceae
Phlox paniculata,Polemoniaceae
Phragmites australis,Poaceae
Phytolacca americana,Phytolaccaceae
Picea abies,Pinaceae
Picea glauca,Pinaceae
Picea mariana,Pinaceae
Picea pungens,Pinaceae
Picea rubens,Pinaceae
Pilea pumila,Urticaceae
Pinus resinosa,Pinaceae
Pinus rigida,Pinaceae
Pinus strobus,Pinaceae
Pinus sylvestris,Pinaceae
Plantago lanceolata,Plantaginaceae
Plantago major,Plantaginaceae
Plantago rugelii,Plantaginaceae
Platanthera clavellata,Orchidaceae
Platanthera grandiflora,Orchidaceae
Platanthera hookeri,Orchidaceae
Platanthera hyperborea,Orchidaceae
Platanthera lacera,Orchidaceae
Platanthera psycodes,Orchidaceae
Platanus occidentalis,Platanaceae
Poa annua,Poaceae
Poa compressa,Poaceae
Poa nemoralis,Poaceae
Poa palustris,Poaceae
Poa pratensis,Poaceae
Pogonia ophioglossoides,Orchidaceae
Polygala paucifolia,Polygalaceae
Polygala polygama,Polygalaceae
Polygala sanguinea,Polygalaceae
Polygonatum pubescens,Asparagaceae
Polygonella articulata,Polygonaceae
Polygonum aviculare,Polygonaceae
Polypodium virginianum,Polypodiaceae
Polystichum acrostichoides,Dryopteridaceae
Pontederia cordata,Pontederiaceae
Populus deltoides,Salicaceae
Populus grandidentata,Salicaceae
Populus tremuloides,Salicaceae
Populus x jackii,Salicaceae
Portulaca oleracea,Portulacaceae
Potamogeton bicupulatus,Potamogetonaceae
Potamogeton epihydrus,Potamogetonaceae
Potamogeton natans,Potamogetonaceae
Potamogeton pulcher,Potamogetonaceae
Potamogeton pusillus var. tenuissimus,Potamogetonaceae
Potentilla argentea,Rosaceae
Potentilla canadensis,Rosaceae
Potentilla norvegica,Rosaceae
Potentilla recta,Rosaceae
Potentilla simplex,Rosaceae
Prenanthes sp.,Asteraceae
Prenanthes altissima,Asteraceae
Prenanthes trifoliolata,Asteraceae
Proserpinaca palustris,Haloragaceae
Prunella vulgaris,Lamiaceae
Prunus sp.,Rosaceae
Prunus avium,Rosaceae
Prunus nigra,Rosaceae
Prunus pensylvanica,Rosaceae
Prunus persica,Rosaceae
Prunus serotina,Rosaceae
Prunus virginiana,Rosaceae
Pteridium aquilinum,Dennstaedtiaceae
Puschkinia libanotica,Asparagaceae
Pyrola sp.,Ericaceae
Pyrola americana,Ericaceae
Pyrola chlorantha,Ericaceae
Pyrola elliptica,Ericaceae
Pyrus communis,Rosaceae
Pyrus x soulardii,Rosaceae
Quercus alba,Fagaceae
Quercus coccinea,Fagaceae
Quercus prinus,Fagaceae
Quercus rubra,Fagaceae
Quercus velutina,Fagaceae
Ranunculus abortivus,Ranunculaceae
Ranunculus acris,Ranunculaceae
Ranunculus aquatilis,Ranunculaceae
Ranunculus bulbosus,Ranunculaceae
Ranunculus recurvatus,Ranunculaceae
Ranunculus repens,Ranunculaceae
Rhamnus cathartica,Rhamnaceae
Rhamnus frangula,Rhamnaceae
Rhododendron sp.,Ericaceae
Rhododendron canadense,Ericaceae
Rhododendron maximum,Ericaceae
Rhododendron prinophyllum,Ericaceae
Rhododendron viscosum,Ericaceae
Rhus copallina,Anacardiaceae
Rhus glabra,Anacardiaceae
Rhus hirta,Anacardiaceae
Rhynchospora alba,Cyperaceae
Rhynchospora capitellata,Cyperaceae
Rhynchospora fusca,Cyperaceae
Ribes glandulosum,Grossulariaceae
Ribes hirtellum,Grossulariaceae
Ribes rubrum,Grossulariaceae
Robinia pseudoacacia,Fabaceae
Rosa carolina,Rosaceae
Rosa multiflora,Rosaceae
Rosa palustris,Rosaceae
Rubus allegheniensis,Rosaceae
Rubus canadensis,Rosaceae
Rubus flagellaris,Rosaceae
Rubus hispidus,Rosaceae
Rubus idaeus,Rosaceae
Rubus occidentalis,Rosaceae
Rubus odoratus,Rosaceae
Rubus pubescens,Rosaceae
Rubus setosus,Rosaceae
Rudbeckia hirta,Asteraceae
Rumex acetosella,Polygonaceae
Rumex crispus,Polygonaceae
Rumex longifolius,Polygonaceae
Rumex obtusifolius,Polygonaceae
Sagina procumbens,Caryophyllaceae
Sagittaria latifolia,Alismataceae
Salix bebbiana,Salicaceae
Salix discolor,Salicaceae
Salix eriocephala,Salicaceae
Salix humilis,Salicaceae
Salix lucida,Salicaceae
Salix sericea,Salicaceae
Sambucus canadensis,Adoxaceae
Sambucus racemosa,Adoxaceae
Sanguinaria canadensis,Papaveraceae
Sanicula marilandica,Apiaceae
Saponaria officinalis,Caryophyllaceae
Sarracenia purpurea,Sarraceniaceae
Sassafras albidum,Lauraceae
Saxifraga pensylvanica,Saxifragaceae
Saxifraga virginiensis,Saxifragaceae
Schizachne purpurascens,Poaceae
Schizachyrium scoparium,Poaceae
Schoenoplectus purshianus,Cyperaceae
Schoenoplectus subterminalis,Cyperaceae
Schoenoplectus tabernaemontani,Cyperaceae
Scilla siberica,Asparagaceae
Scirpus atrocinctus,Cyperaceae
Scirpus cyperinus,Cyperaceae
Scirpus expansus,Cyperaceae
Scirpus hattorianus,Cyperaceae
Scirpus microcarpus,Cyperaceae
Scirpus pedicellatus,Cyperaceae
Scleranthus annuus,Caryophyllaceae
Scutellaria galericulata,Lamiaceae
Scutellaria lateriflora,Lamiaceae
Secale cereale,Poaceae
Sedum telephium,Crassulaceae
Sedum ternatum,Crassulaceae
Selaginella apoda,Selaginellaceae
Senecio aureus,Asteraceae
Senecio obovatus,Asteraceae
Senecio vulgaris,Asteraceae
Setaria faberi,Poaceae
Setaria pumila,Poaceae
Setaria viridis,Poaceae
Silene latifolia,Caryophyllaceae
Sisymbrium altissimum,Brassicaceae
Sisymbrium officinale,Brassicaceae
Sisyrinchium atlanticum,Iridaceae
Sisyrinchium montanum,Iridaceae
Sium suave,Apiaceae
Smilax herbacea,Smilacaceae
Solanum dulcamara,Solanaceae
Solanum nigrum,Solanaceae
Solidago arguta,Asteraceae
Solidago bicolor,Asteraceae
Solidago caesia,Asteraceae
Solidago canadensis,Asteraceae
Solidago flexicaulis,Asteraceae
Solidago gigantea,Asteraceae
Solidago juncea,Asteraceae
Solidago nemoralis,Asteraceae
Solidago odora,Asteraceae
Solidago puberula,Asteraceae
Solidago rugosa,Asteraceae
Solidago uliginosa,Asteraceae
Sonchus asper,Asteraceae
Sorbaria sorbifolia,Rosaceae
Sorbus americana,Rosaceae
Sparganium sp.,Typhaceae
Sparganium americanum,Typhaceae
Sparganium angustifolium,Typhaceae
Sparganium erectum,Typhaceae
Spergularia rubra,Caryophyllaceae
Sphenopholis obtusata var. major,Poaceae
Spiraea alba,Rosaceae
Spiraea tomentosa,Rosaceae
Spiranthes cernua,Orchidaceae
Spiranthes lacera,Orchidaceae
Sporobolus vaginiflorus,Poaceae
Stellaria borealis,Caryophyllaceae
Stellaria graminea,Caryophyllaceae
Stellaria media,Caryophyllaceae
Streptopus roseus,Liliaceae
Symphoricarpos albus var. laevigatus,Caprifoliaceae
Symplocarpus foetidus,Araceae
Syringa vulgaris,Oleaceae
Tanacetum vulgare,Asteraceae
Taraxacum officinale,Asteraceae
Taxus canadensis,Taxaceae
Thalictrum pubescens,Ranunculaceae
Thelypteris noveboracensis,Thelypteridaceae
Thelypteris palustris,Thelypteridaceae
Thelypteris simulata,Thelypteridaceae
Thuja occidentalis,Cupressaceae
Thymus pulegioides,Lamiaceae
Tiarella cordifolia,Saxifragaceae
Tilia americana,Malvaceae
Torreyochloa pallida,Poaceae
Toxicodendron radicans,Anacardiaceae
Toxicodendron vernix,Anacardiaceae
Tragopogon pratensis,Asteraceae
Triadenum sp.,Hypericaceae
Triadenum fraseri,Hypericaceae
Triadenum virginicum,Hypericaceae
Trichostema dichotomum,Lamiaceae
Trientalis borealis,Primulaceae
Trifolium arvense,Fabaceae
Trifolium aureum,Fabaceae
Trifolium campestre,Fabaceae
Trifolium pratense,Fabaceae
Trifolium repens,Fabaceae
Trillium erectum,Melanthiaceae
